Event,Serotype,State,Locality,lat,lon,Diagnosis.status,Animal.type,species,date
199532,H5N1 HPAI,Kerala,Alleppey,9.460415206,76.34,Confirmed,Domestic,Turkey,2015-01-28
218137,H5N8 HPAI,Kerala,Thakazhy,9.22,76.5,Confirmed,Wild,Unspecified Bird,2016-10-26
218538,H5N8 HPAI,Kerala,Ramankary,9.25,76.5,Confirmed,Wild,Unspecified Bird,2016-10-26
221982,H5N8 HPAI,Kerala,Champakkulam,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221971,H5N8 HPAI,Kerala,Thalayazham,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221979,H5N8 HPAI,Kerala,Ambalapuzha North,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221981,H5N8 HPAI,Kerala,Arpookkara,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221980,H5N8 HPAI,Kerala,Aymanam,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221987,H5N8 HPAI,Kerala,Vechur,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221993,H5N8 HPAI,Kerala,Kumarakom,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221974,H5N8 HPAI,Kerala,Veliyanad,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221975,H5N8 HPAI,Kerala,Cheruthana,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221977,H5N8 HPAI,Kerala,Pallippad,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221992,H5N8 HPAI,Kerala,Ambalappuzha South,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221991,H5N8 HPAI,Kerala,Karuvatta,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221989,H5N8 HPAI,Kerala,Punnappra South,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221990,H5N8 HPAI,Kerala,Thalavady,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221988,H5N8 HPAI,Kerala,Purakkad,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221985,H5N8 HPAI,Kerala,Pulincunnu,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221986,H5N8 HPAI,Kerala,Chennithala,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221983,H5N8 HPAI,Kerala,Edathua,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221984,H5N8 HPAI,Kerala,Veeyapuram,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221978,H5N8 HPAI,Kerala,Nedumudy,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
221972,H5N8 HPAI,Kerala,Neendoor,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221973,H5N8 HPAI,Kerala,Paippad,9.62228,76.64191,Confirmed,Domestic,Unspecified Bird,2017-01-12
221976,H5N8 HPAI,Kerala,Neelamperoor,9.49508,76.40282,Confirmed,Domestic,Unspecified Bird,2017-01-12
268619,H5N1 HPAI,Kerala,Abdul Majeed Outhiyottil Egger Nursery West Kodiyathur,11.278953,75.979224,Confirmed,Domestic,Chicken,2020-04-02
268618,H5N1 HPAI,Kerala,Vengeri Kozhikkode Corporation,11.300482,75.797846,Confirmed,Domestic,Unspecified Bird,2020-04-02
273278,H5N1 HPAI,Kerala,Beerankutty Valiya,11.2076,75.8204,Confirmed,Domestic,Unspecified Bird,2020-06-02
286191,H5N8 HPAI,Kerala,Nedumudy,9.40136,76.36269,Confirmed,Domestic,Unspecified Bird,2021-01-09
286192,H5N8 HPAI,Kerala,Thakazhy,9.3707,76.4115,Confirmed,Domestic,Unspecified Bird,2021-01-09
286194,H5N8 HPAI,Kerala,Neendoor,9.671296,76.498461,Confirmed,Domestic,Unspecified Bird,2021-01-09
286190,H5N8 HPAI,Kerala,Pallippad,9.2804,76.4819,Confirmed,Domestic,Unspecified Bird,2021-01-09
286193,H5N8 HPAI,Kerala,Karuvatta,9.3107,76.4305,Confirmed,Domestic,Unspecified Bird,2021-01-09
287630,H5N8 HPAI,Kerala,Kainakary,9.469263,76.366434,Confirmed,Domestic,Unspecified Bird,2021-02-01
303606,H5N8 HPAI,Kerala,Kudavechoor,9.6603,76.4244,Confirmed,Domestic,Unspecified Bird,2021-09-21
309176,H5N1 HPAI,Kerala,Madiyilakari  Thakazy  Champakulam,9.349968,76.40387,Confirmed,Domestic,Unspecified Bird,2021-12-16
314120,H5N1 HPAI,Kerala,Nalupadam  Ambalapuzha(N),9.41768,76.36165,Confirmed,Domestic,Duck,2022-02-21
314128,H5N1 HPAI,Kerala,Madanan  Vechoor Panchayat Kattamada,9.67966,76.4365,Confirmed,Domestic,Duck,2022-02-21
314132,H5N1 HPAI,Kerala,Kanjipadam  Ambalapuzha(N),9.41099,76.37235,Confirmed,Domestic,Duck,2022-02-21
314135,H5N1 HPAI,Kerala,Nalupadam  Ambalapuzha(N),9.30654,76.4685,Confirmed,Domestic,Duck,2022-02-21
314122,H5N1 HPAI,Kerala,Ward No.1 Karuvatta,9.34567,76.40164,Confirmed,Domestic,Duck,2022-02-21
314131,H5N1 HPAI,Kerala,Ward No. 3 Cheruthana,9.32432,76.45214,Confirmed,Domestic,Duck,2022-02-21
314121,H5N1 HPAI,Kerala,Kallara Panchayat Vendhakary Kizhakkechira,9.723821,76.4415,Confirmed,Domestic,Duck,2022-02-21
314137,H5N1 HPAI,Kerala,Nalupadam  Ambalapuzha(N),9.41715,76.35893,Confirmed,Domestic,Duck,2022-02-21
314136,H5N1 HPAI,Kerala,Ward No. 1 Karuvatta,9.32893,76.40373,Confirmed,Domestic,Duck,2022-02-21
314125,H5N1 HPAI,Kerala,Ward No 1 Karuvatta,9.34154,76.42215,Confirmed,Domestic,Duck,2022-02-21
314127,H5N1 HPAI,Kerala,Ward No.1 Karuvatta,9.3421,76.4221,Confirmed,Domestic,Duck,2022-02-21
314133,H5N1 HPAI,Kerala,Vechoor Panchayat Kattamada,9.67966,76.4365,Confirmed,Domestic,Duck,2022-02-21
314126,H5N1 HPAI,Kerala,R Raghu  Ayamanam Panchayat  Ikarashala Paadashekharam,9.625587,76.478303,Confirmed,Domestic,Duck,2022-02-21
314129,H5N1 HPAI,Kerala,Vechoor Panchayat Kattamada,9.67966,76.43651,Confirmed,Domestic,Duck,2022-02-21
314124,H5N1 HPAI,Kerala,Vadakkepallippadam Kumarakom Panchayat,9.62082,76.43694,Confirmed,Domestic,Duck,2022-02-21
