year,month,region,municipalities_involved,total_municipalities
2022,December,Romblon,1,17
2022,February,Romblon,1,17
2022,September,Ormin,1,15
2023,April,Romblon,1,17
2023,August,Romblon,1,17
2023,December,Marinduque,2,6
2023,January,Romblon,1,17
2023,March,Romblon,2,17
2023,May,Romblon,2,17
2023,November,Marinduque,1,6
2023,September,Marinduque,2,6
2023,September,Ormin,1,15
2024,April,Ormin,1,15
2024,April,Romblon,1,17
2024,August,Marinduque,2,6
2024,August,Ormin,1,15
2024,December,Marinduque,1,6
2024,February,Romblon,1,17
2024,July,Ormin,2,15
2024,June,Marinduque,2,6
2024,June,Ormin,2,15
2024,March,Romblon,1,17
2024,May,Marinduque,1,6
2024,May,Ormin,6,15
2024,May,Romblon,2,17
2024,November,Marinduque,2,6
2024,October,Marinduque,1,6
2024,September,Ormin,4,15
2024,September,Romblon,3,17
2025,April,Marinduque,1,6
2025,April,Ormin,3,15
2025,August,Ormin,3,15
2025,July,Ormin,4,15
2025,June,Ormin,1,15
2025,March,Marinduque,1,6
2025,March,Ormin,5,15
2025,March,Romblon,4,17
2025,May,Ormin,3,15
2025,September,Ormin,1,15
2025,September,Romblon,2,17
2026,April,Romblon,1,17
