municipality,region,year,vacc,pop,rolling_vac,vacc_cov_roll
Alcantara,Romblon,2019,0,3391,0,0
Alcantara,Romblon,2020,0,3391,0,0
Alcantara,Romblon,2021,0,3391,0,0
Alcantara,Romblon,2022,2193,1543,1687.9250310550435,1
Alcantara,Romblon,2023,911,1543,2373.154874816658,1
Alcantara,Romblon,2024,2774,3391,3822.492003784215,1
Alcantara,Romblon,2025,34,3391,3847.8154555431897,1
Alcantara,Romblon,2026,0,3391,0,0
Baco,Ormin,2019,0,7963,0,0
Baco,Ormin,2020,0,7963,0,0
Baco,Ormin,2021,0,7963,0,0
Baco,Ormin,2022,0,11915,0,0
Baco,Ormin,2023,0,11915,0,0
Baco,Ormin,2024,4723,7963,2776.723923082016,0.3487032428835886
Baco,Ormin,2025,2270,7963,5191.710660905475,0.6519792365823779
Baco,Ormin,2026,0,7963,0,0
Bansud,Ormin,2019,0,13304,0,0
Bansud,Ormin,2020,0,13304,0,0
Bansud,Ormin,2021,0,13304,0,0
Bansud,Ormin,2022,0,11915,0,0
Bansud,Ormin,2023,0,11915,0,0
Bansud,Ormin,2024,1562,13304,789.9546264157965,0.059377226880321446
Bansud,Ormin,2025,3002,13304,2511.9596528226607,0.18881236115624328
Bansud,Ormin,2026,0,13304,0,0
Banton,Romblon,2019,0,1147,0,0
Banton,Romblon,2020,0,1147,0,0
Banton,Romblon,2021,0,1147,0,0
Banton,Romblon,2022,0,548,0,0
Banton,Romblon,2023,0,11915,0,0
Banton,Romblon,2024,0,1147,0,0
Banton,Romblon,2025,0,822,0,0
Banton,Romblon,2026,0,1147,0,0
Boac,Marinduque,2019,0,11915,0,0
Boac,Marinduque,2020,0,11915,0,0
Boac,Marinduque,2021,0,11915,0,0
Boac,Marinduque,2022,0,11915,0,0
Boac,Marinduque,2023,11200,11915,1466.3009797003544,0.12306344772978216
Boac,Marinduque,2024,4685,11915,10072.324117730235,0.8453482264146231
Boac,Marinduque,2025,705,11915,12305.17998425947,1
Boac,Marinduque,2026,0,11915,0,0
Bongabong,Ormin,2019,0,16080,0,0
Bongabong,Ormin,2020,0,16080,0,0
Bongabong,Ormin,2021,0,16080,0,0
Bongabong,Ormin,2022,0,11915,0,0
Bongabong,Ormin,2023,0,11915,0,0
Bongabong,Ormin,2024,5948,16080,3416.627756882559,0.21247685055239796
Bongabong,Ormin,2025,5624,16080,8433.855131530503,0.5244934783290114
Bongabong,Ormin,2026,0,16080,0,0
Buenavista,Marinduque,2019,0,4610,0,0
Buenavista,Marinduque,2020,0,4610,0,0
Buenavista,Marinduque,2021,0,4610,0,0
Buenavista,Marinduque,2022,0,11915,0,0
Buenavista,Marinduque,2023,474,4610,122.01690303191994,0.02646787484423426
Buenavista,Marinduque,2024,4373,4610,2054.939519309428,0.44575694562026635
Buenavista,Marinduque,2025,75,4610,3832.5146762780223,0.8313480859605255
Buenavista,Marinduque,2026,0,4610,0,0
Bulalacao,Ormin,2019,0,8534,0,0
Bulalacao,Ormin,2020,0,8534,0,0
Bulalacao,Ormin,2021,0,8534,0,0
Bulalacao,Ormin,2022,0,11915,0,0
Bulalacao,Ormin,2023,0,11915,0,0
Bulalacao,Ormin,2024,0,8534,0,0
Bulalacao,Ormin,2025,0,8534,0,0
Bulalacao,Ormin,2026,0,8534,0,0
Cajidiocan,Romblon,2019,0,4652,0,0
Cajidiocan,Romblon,2020,0,4652,0,0
Cajidiocan,Romblon,2021,0,4652,0,0
Cajidiocan,Romblon,2022,0,2120,0,0
Cajidiocan,Romblon,2023,1174,5274,832.6245997508877,0.15787345463611827
Cajidiocan,Romblon,2024,274,4652,931.2716800179317,0.20018737747590964
Cajidiocan,Romblon,2025,1422,4213,1838.2522360810813,0.4363285630384717
Cajidiocan,Romblon,2026,0,4652,0,0
Calapan City,Ormin,2019,0,29157,0,0
Calapan City,Ormin,2020,0,29157,0,0
Calapan City,Ormin,2021,0,29157,0,0
Calapan City,Ormin,2022,0,9173,0,0
Calapan City,Ormin,2023,0,11915,0,0
Calapan City,Ormin,2024,15554,29157,6696.0681179303965,0.22965559275406922
Calapan City,Ormin,2025,15600,29157,19201.34894834964,0.6585502263041342
Calapan City,Ormin,2026,0,29157,0,0
Calatrava,Romblon,2019,0,2268,0,0
Calatrava,Romblon,2020,0,2268,0,0
Calatrava,Romblon,2021,0,2268,0,0
Calatrava,Romblon,2022,264,2120,151.64588564509006,0.07153107813447644
Calatrava,Romblon,2023,0,11915,200.70855671181042,0.01684503203624091
Calatrava,Romblon,2024,527,2268,475.326713828833,0.20957967981870945
Calatrava,Romblon,2025,3,1200,549.9841808517432,0.458320150709786
Calatrava,Romblon,2026,0,2268,0,0
Concepcion,Romblon,2019,0,712,0,0
Concepcion,Romblon,2020,0,712,0,0
Concepcion,Romblon,2021,0,712,0,0
Concepcion,Romblon,2022,8,409,5.13793456796507,0.012562187207738558
Concepcion,Romblon,2023,0,11915,6.006112818125056,5.040799679500676e-4
Concepcion,Romblon,2024,65,712,24.302959342856532,0.034133369863562545
Concepcion,Romblon,2025,80,526,79.96100509609181,0.15201711995454717
Concepcion,Romblon,2026,0,712,0,0
Corcuera,Romblon,2019,0,2022,0,0
Corcuera,Romblon,2020,0,2022,0,0
Corcuera,Romblon,2021,0,2022,0,0
Corcuera,Romblon,2022,0,994,0,0
Corcuera,Romblon,2023,0,11915,0,0
Corcuera,Romblon,2024,0,2022,0,0
Corcuera,Romblon,2025,551,2022,122.93858190350247,0.06080048561004078
Corcuera,Romblon,2026,0,2022,0,0
Ferrol,Romblon,2019,0,1690,0,0
Ferrol,Romblon,2020,0,1690,0,0
Ferrol,Romblon,2021,0,1690,0,0
Ferrol,Romblon,2022,292,680,156.0476053020959,0.2294817725030822
Ferrol,Romblon,2023,1118,1553,941.6576546346939,0.6063474917158364
Ferrol,Romblon,2024,1575,1690,2148.699112235264,1
Ferrol,Romblon,2025,1157,1750,2863.8807109543577,1
Ferrol,Romblon,2026,0,1690,0,0
Gasan,Marinduque,2019,0,6716,0,0
Gasan,Marinduque,2020,0,6716,0,0
Gasan,Marinduque,2021,0,6716,0,0
Gasan,Marinduque,2022,0,11915,0,0
Gasan,Marinduque,2023,2338,8610,735.1212455594147,0.08537993560504235
Gasan,Marinduque,2024,5299,6716,3106.691321681887,0.4625806017989707
Gasan,Marinduque,2025,71,6716,5927.671864458619,0.8826193961373763
Gasan,Marinduque,2026,0,6716,0,0
Gloria,Ormin,2019,0,14864,0,0
Gloria,Ormin,2020,0,14864,0,0
Gloria,Ormin,2021,0,14864,0,0
